rep,Repertory,spotify,col
anniversary,,,https://www.youtube.com/embed/wFXPdRZ33Jg?si=8rFrQap624sG-smg
Jewels,Jewels,https://open.spotify.com/embed/track/7FzLJahcwv5wgx6xPbyo1v?utm_source=generator&theme=0,https://www.youtube.com/embed/8wTkgTF6fUs?si=MohEFHe-jWutrk8_
Western-Symphony,Western Symphony,,https://www.youtube.com/embed/RyKMcSyE0iI?si=UXnqnJq8GpwFrs4r
The-Unanswered-Question-from-Ivesiana,The Unanswered Question from Ivesiana,https://open.spotify.com/embed/track/7umTDygSNRwDVYvdp9CGNG?utm_source=generator&theme=0,https://www.youtube.com/embed/KKY2A5nQzn8?si=zRM8BVhUeuuK7Z5C
Tarantella,Tarantella,https://open.spotify.com/embed/track/72lphKmrYsM2F7iw4grYQW?utm_source=generator&theme=0,https://www.youtube.com/embed/S-uUhe2oic0?si=2F739tcljwAxfdgG
Stars-and-Stripes,Stars and Stripes,https://open.spotify.com/embed/track/2wY1zVMCCyWUonCRtNxGhd?utm_source=generator&theme=0,https://www.youtube.com/embed/yafrYIo3O3Q?si=tV5gawRvEhjChuEp
Serenade,Serenade,https://open.spotify.com/embed/track/2NMlDtJvL4X1CAOs8phkFI?utm_source=generator&theme=0,https://www.youtube.com/embed/GhY8Z5f8cKI?si=yCLkdXpJIJUlYtio
Orpheus,Orpheus,https://open.spotify.com/embed/track/47ZOJja6DSVoHQzagWhVZb?utm_source=generator&theme=0,https://www.youtube.com/embed/inc9MnRhQdY?si=YNO43Fkhtuhb6D7s
Theme-and-Variations,Theme and Variations,https://open.spotify.com/embed/track/1d1JWtt1N8IZRTYBkmGazg?utm_source=generator&theme=0,https://www.youtube.com/embed/N-he0tjklMA?si=oH4GsNx1qWsOSpJH
Apollo,Apollo,https://open.spotify.com/embed/track/4vsqmSy2ksdxHBkDqEb37U?utm_source=generator&theme=0,https://www.youtube.com/embed/hkOijGdD6jo?si=MESOrqONeRs0pxhm
La-Sonnambula,La Sonnambula,,https://www.youtube.com/embed/1AwY8rV2G4w?si=xlZC7of8IRhBAy68
Tschaikovsky-Piano-Concerto-No-2,Tschaikovsky Piano Concerto No. 2,https://open.spotify.com/embed/track/4gDihspklRNpn9zBlfeFPS?utm_source=generator&theme=0,https://www.youtube.com/embed/QpSUZjS2ZOs?si=XSVSrInXK_HhzOWP
Concerto-Barocco,Concerto Barocco,https://open.spotify.com/embed/track/1d1JWtt1N8IZRTYBkmGazg?utm_source=generator&theme=0,https://www.youtube.com/embed/tdZ1u2n7sSM?si=jpF4XqIQ4fwHjQG2
Symphony-in-C,Symphony in C,https://open.spotify.com/embed/track/4ybCQncLeRtMrPIr8wk6YF?utm_source=generator&theme=0,https://www.youtube.com/embed/dPJHNgUlv50?si=yqKYSHPGFlNIr-J3
Who-Cares?-excerpts,Who Cares? (excerpts),https://open.spotify.com/embed/track/0E6GFTgOL8lwpRkIYlYpyN?utm_source=generator&theme=0,https://www.youtube.com/embed/ZcaFqFn_y9s?si=WvqSv2v6FWRdrDDK
Glass-Pieces,Glass Pieces,https://open.spotify.com/embed/track/0i68Yl4gSwpxtMsYPXvsZE?utm_source=generator&theme=0,https://www.youtube.com/embed/VVwUZPqPv5Y?si=2AhHwdHH3Rg-Cjnh
Bourree-Fantasque,Bourree Fantasque,https://open.spotify.com/embed/track/5J9mVAtc7lNblzpTYCj4gO?utm_source=generator&theme=0,"<a href=""https://vimeo.com/nycballet"">New York City Ballet</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>"
Agon,Agon,https://open.spotify.com/embed/track/5izNjNzEds2vL7wbL3Z4Ux?utm_source=generator&theme=0,https://www.youtube.com/embed/1fZCdTFPiUs?si=JV7KMtDhf1E6pMEy
Slaughter-on-Tenth-Avenue,Slaughter on Tenth Avenue,https://open.spotify.com/embed/track/5s7DSl6Npg5DwiKjnU9tlJ?utm_source=generator&theme=0,https://www.youtube.com/embed/XPpoXLrHLB4?si=etgmFp9k78x47X7B
Prodigal-Son,Prodigal Son,https://open.spotify.com/embed/track/1ybRLTaxyD72oqmZkCDO1F?utm_source=generator&theme=0,https://www.youtube.com/embed/vAvOMZXOZh0?si=u0Fog3aaR_aBzglD
The-Steadfast-Tin-Soldier,The Steadfast Tin Soldier,https://open.spotify.com/embed/track/0kXMBUf2V2P6SBu4Oy5H3v?utm_source=generator&theme=0,https://www.youtube.com/embed/IiAM1TqDbpY?si=F1t4vvT5Yy2SKtLv
errante-formerly-titled-tzigane,Errante,https://open.spotify.com/embed/track/62KxOl2fU2FAYreEZqtRmA?utm_source=generator&theme=0,
Rubies,Rubies,https://open.spotify.com/embed/track/75JMUyLz5R6kM7ktgNMHNK?utm_source=generator&theme=0,https://www.youtube.com/embed/DSOsjLYaA88?si=n1qJi4tLzhlNBuA9
new-j-peck,Dig the Say,https://open.spotify.com/embed/track/5I7A4HI1nxUHQE3APIBdvN?utm_source=generator&theme=0,
In-Creases,In Creases,https://open.spotify.com/embed/track/3BWCx3bMFJLOeAOzU2fZ2v?utm_source=generator&theme=0,https://www.youtube.com/embed/_Oqpqduw2Wc?si=u_moL90epa_Mi9nn
Underneath-There-is-Light,Underneath There is Light,https://open.spotify.com/embed/track/2cGwQaYBSBlyy4tbqEgSan?utm_source=generator&theme=0,
