"rep","description_short","description","choreography","length","music","music by","premiere","original cast","num_dancers","costumes","set","lighting","photo_url","premiere_date","premiere_place"
"Jewels","Balanchine distilled the brilliant facets of precious stones into a grand display: Emeralds moves at Fauré's mesmerizing pace, while Rubies races like lightning through Stravinsky's jazz-inflected capriccio. With its symphonic Tschaikovsky score, Diamonds venerates the regality of Balanchine’s classical heritage.","Balanchine distilled the brilliant facets of precious stones into a grand display: Emeralds moves at Fauré's mesmerizing pace, while Rubies races like lightning through Stravinsky's jazz-inflected capriccio. With its symphonic Tschaikovsky score, Diamonds venerates the regality of Balanchine’s classical heritage.
Jewels, a work in three parts choreographed by George Balanchine, had a forerunner in the first production of Balanchine's Symphony in C at the Paris Opera in 1947. In it, each movement of the ballet, then called Le Palais de Cristal, was costumed in a different jewel color. After being inspired by a visit to famed jewelers Van Cleef and Arpels, Balanchine took up this concept again and selected emeralds, rubies, and diamonds for his parure, having also considered pearls and sapphires. But Jewels is really not so much about gems as about some facets of classical dancing, and while it has been considered the first three-act story-less ballet, the jewel motif, sustained by Karinska's costumes and the decor, is actually a device to unify sections that would otherwise be disparate; each act is quite distinct in style and has music by a different composer: Fauré for Emeralds, Stravinsky for Rubies, Tschaikovsky for Diamonds.","George Balanchine","2 hours 4 minutes","Emeralds: Pelléas et Mélisande (1898) and Shylock (1889) Rubies: Capriccio for Piano and Orchestra (1929) Diamonds: Symphony No. 3 in D major, Op. 29 (1875)","Gabriel Fauré, Igor Stravinsky, and Peter Ilyitch Tschaikovsky","April 13, 1967, New York City Ballet, New York State Theater","Emeralds: Violette Verdy, Mimi Paul, Sara Leland, Suki Schorer, Conrad Ludlow, Francisco Moncion, John Prinz; Rubies: Patricia McBride, Patricia Neary, Edward Villella; Diamonds: Suzanne Farrell, Jacques d'Amboise",12,"Karinska","Peter Harvey (original scenery, 1967), Robin Wagner (1983), Peter Harvey (2004)","Ronald Bates (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579693555/legacy/imported/jewels-key?_a=AACnOEz,","April 13, 1967","New York City Ballet, New York State Theater"
"Western-Symphony","Western Symphony is a rodeo of frisky fillies and lonesome cowpokes with a rousing, non-stop finale that brings the curtain down.","Western Symphony is a rodeo of frisky fillies and lonesome cowpokes with a rousing, non-stop finale that brings the curtain down.
Western Symphony is a striking example of Balanchine’s fascination with American themes. Set on a rugged Old West street populated by cowboys and dance hall girls, the ballet nevertheless is very much a classical work.  Balanchine used steps from the traditional ballet vocabulary, but he infused them with the formations and gestures of American folk dancing.  The lively and familiar score consists of Hershy Kay’s orchestrations of classic American folk songs, including “Red River Valley,” “Good Night Ladies,” and “Oh Dem Golden Slippers.”","George Balanchine","26 minutes","Traditional American melodies","Traditional American melodies orchestrated by Hershy Kay","September 7, 1954, New York City Ballet, City Center of Music and Drama","Diana Adams, Janet Reed, Patricia Wilde, Tanaquil Le Clercq, Herbert Bliss, Nicholas Magallanes, André Eglevsky, Jacques d'Amboise",8,"Karinska (added 1955)","John Boyt (added 1955)","Jean Rosenthal (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1589850849/Ballets/Western-Symphony/WesternSymphony-Mejia-190504-521?_a=AACnOEz,","September 7, 1954","New York City Ballet, City Center of Music and Drama"
"The-Unanswered-Question-from-Ivesiana","A hypnotically alluring piece that captures the haunting, otherworldly music of Charles Ives, The Unanswered Question features a lone ballerina who is held aloft throughout the distinctive dance of subtle mystery.","A hypnotically alluring piece that captures the haunting, otherworldly music of Charles Ives, The Unanswered Question features a lone ballerina who is held aloft throughout the distinctive dance of subtle mystery.
“The Unanswered Question” is the second section of Balanchine’s Ivesiana, which he choreographed to a series of unrelated Charles Ives orchestral pieces shortly after the composer’s death in 1954. The complex music of this Connecticut-born artist, incorporating extensive use of atonality, clashing meters and quarter-tones, had rarely been performed prior to its use in Ivesiana. 
 ","George Balanchine","7 minutes","The Unanswered Question","Charles Ives","September 14, 1954, City Center of Music and Drama","Allegra Kent, Todd Bolender",2,"-","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1590863446/Ballets/Ivesiana/Ivesiana-TaylorHuxley-c35667-2-RGB?_a=AACnOEz,","September 14, 1954","City Center of Music and Drama"
"Tarantella","The virtuosic pas de deux Tarantella showcases two pyrotechnical dancers in an ever growing profusion of steps.","The virtuosic pas de deux Tarantella showcases two pyrotechnical dancers in an ever growing profusion of steps.
This sprightly music, despite its Italian air, was composed by Louis Moreau Gottschalk (1829-1869), a New Orleans­–born composer and pianist who made a large impact in his brief life. The audacity and wit of his works, along with his brilliance at the keyboard, made his compositions immensely popular — perhaps too popular, as he fell out of favor after his death, considered old-fashioned and clichéd. But Gottschalk was a true American original, and his achievements had a great impact on composers and performers who followed. Balanchine admired this particular composition and choreographed a pas de deux for Patricia McBride and Edward Villella — two virtuosic dancers — in 1964. In his Complete Stories of the Great Ballets, Balanchine wrote of the music, “It is a dazzling display piece, full of speed and high spirits. So, I hope, is the dance, which is ‘Neopolitan’ if you like and ‘demi-caractère.’ The costumes are inspired by Italy, anyhow, and there are tambourines.”","George Balanchine","8 minutes","Grand Tarentelle for Piano and Orchestra, Op. 67 (ca. 1866)","Louis Moreau Gottschalk, reconstructed and orchestrated by Hershy Kay","January 7, 1964, New York City Ballet, New York City Center of Music and Drama","Patricia McBride, Edward Villella",2,"Karinska","-","Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1679429566/Ballets/Tarantella/FY24/Tarantella_BouderUlbricht_C31069-1?_a=AACnOEz,","January 7, 1964","New York City Ballet, New York City Center of Music and Drama"
"Stars-and-Stripes","Set to Sousa's buoyant marches and dressed in Karinska's delightful all-American costumes, Stars and Stripes contains as much pure dancing as many full-length classical ballets.","Set to Sousa's buoyant marches and dressed in Karinska's delightful all-American costumes, Stars and Stripes contains as much pure dancing as many full-length classical ballets.
For all its exuberant patriotic touches, Stars and Stripes contains as much pure dancing as many full-length classical ballets. The work is divided into five “campaigns,” each of which uses different themes from John Philip Sousa’s marches. When asked why he chose to choreograph a ballet to Sousa, Balanchine replied, “Because I like his music.” Stars and Stripes has been performed for many memorable occasions, including Nelson Rockefeller’s inauguration as governor of New York, tributes for Presidents John F. Kennedy and Lyndon B. Johnson, and the opening ceremonies for the New York State Theater (now the David H. Koch Theater) at Lincoln Center. The ballet is dedicated to the memory of Fiorello H. LaGuardia, mayor of New York City from 1934 to 1945 and founder of the City Center of Music and Drama.","George Balanchine","28 minutes","Corcoran Cadets, Thunder and Gladiator, Rifle Regiment, Liberty Bell, El Capitan, The Stars and Stripes Forever","John Philip Sousa, orchestrated by Hershy Kay","January 17, 1958, New York City Ballet, City Center of Music and Drama","Allegra Kent, Diana Adams, Melissa Hayden, Robert Barnett, Jacques d'Amboise",5,"Karinska","David Hays","Nananne Porcher (1958); David Hays (1964); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_south,h_700,w_800/f_auto/q_auto/v1579692074/legacy/imported/stars-and-stripes-key?_a=AACnOEz,","January 17, 1958","New York City Ballet, City Center of Music and Drama"
"Serenade","A romantic work of immense sweep, set to a transcendent Tschaikovsky score.","A romantic work of immense sweep, set to a transcendent Tschaikovsky score.
Serenade is a milestone in the history of dance. It is the first original ballet George Balanchine created in America, and is one of the signature works of New York City Ballet’s repertory. Balanchine began the ballet as a lesson in stage technique and worked unexpected rehearsal events into the choreography; a student’s fall or late arrival to rehearsal became part of the ballet. After its initial performance by SAB students on June 9, 1934, on the grounds of the Warburg estate in White Plains, N.Y., Serenade was reworked several times. In its present form there are four movements: “Sonatina,” “Waltz,” “Russian Dance,” and “Elegy.” The last two movements reverse the order of Tschaikovsky’s score, ending the ballet on a note of sadness. Balanchine had a special affinity for Tschaikovsky. “In everything that I did to Tschaikovsky’s music,” he told an interviewer, “I sensed his help. It wasn’t real conversation. But when I was working and saw that something was coming of it, I felt that it was Tschaikovsky who had helped me.”","George Balanchine","32 minutes","Serenade for Strings in C, Op. 48 (1880)","Peter Ilyitch Tschaikovsky","March 1, 1935, American Ballet, Adelphi Theater, New York","Leda Anchutina, Holly Howard, Elise Reiman, Elena de Rivas, Sylvia Giselle (Gisella Caccialanza), Helen Leitch, Annabelle Lyon, Kathryn Mullowny, Heidi Vosseler, Charles Laskey, Ruthanna Boris",11,"Jean Lurçat (1935); Candido Portinari for American Ballet Caravan (1941); uncredited (1948); Karinska (1952)","Original scenery by Gaston Longchamp; performed without décor from 1941","Jean Rosenthal (1948); Ronald Bates (1964); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_south,h_700,w_800/f_auto/q_auto/v1590862592/Ballets/Serenade/Serenade_c39111-14?_a=AACnOEz,","March 1, 1935","American Ballet, Adelphi Theater, New York"
"Orpheus","An iconic Balanchine work that was part of NYCB’s inaugural performance in 1948, this highly-stylized, narrative ballet depicts Orpheus’ journey to rescue his beloved Eurydice from the underworld.","An iconic Balanchine work that was part of NYCB’s inaugural performance in 1948, this highly-stylized, narrative ballet depicts Orpheus’ journey to rescue his beloved Eurydice from the underworld.
Orpheus occupies a singular place in the history of New York City Ballet.  The score was commissioned from Stravinsky by Ballet Society and the composer worked in close collaboration with Balanchine on the ballet – a contemporary treatment of the story of Orpheus, the musician-poet of Greek myth, and his struggle to rescue his wife Eurydice from Hades.  It was a performance of this work that led Morton Baum, chairman of the executive committee of the City Center of Music and Drama, to invite Ballet Society to become its permanent ballet company, under the new name, New York City Ballet.  Orpheus was presented with Concerto Barocco and Symphony in C at the New York City Ballet’s first performance on October 11, 1948.","George Balanchine","30 minutes","Orpheus (1947)","Igor Stravinsky","April 28, 1948, Ballet Society, City Center of Music and Drama, New York","Nicholas Magallanes, Francisco Moncion, Maria Tallchief, Beatrice Tompkins, Tanaquil Le Clercq, Herbert Bliss",6,"Isamu Noguchi","Isamu Noguchi","Jean Rosenthal (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1605066617/Ballets/Orpheus/Orpheus-ReichlenLaCour-c45182-114-NCrop?_a=AACnOEz,","April 28, 1948","Ballet Society, City Center of Music and Drama, New York"
"Theme-and-Variations","A work that drips with gilded grandeur, Theme and Variations pays tribute to Balanchine’s imperial Russia with its regal structure and sumptuous Tschaikovsky score.","A work that drips with gilded grandeur, Theme and Variations pays tribute to Balanchine’s imperial Russia with its regal structure and sumptuous Tschaikovsky score.
An intensive display of the classical ballet lexicon, Theme and Variations was intended, as Balanchine wrote, “to evoke that great period in classical dancing when Russian ballet flourished with the aid of Tschaikovsky’s music.” Set to the final movement of Tschaikovsky’s third orchestral suite, the score consists of a theme and 12 variations, culminating in a polonaise in the Imperial style. Arguably the most substantial part of the suite, Tschaikovsky himself began the concert tradition of playing this final movement as a separate piece. Balanchine created Theme and Variations in 1947 for Ballet Theatre (now American Ballet Theatre), and it briefly entered the NYCB repertory in 1960. In 1970 Balanchine used the complete orchestral suite to create Tschaikovsky Suite No. 3, and Theme and Variations, with a few minor revisions, returned to the repertory as the fourth and final movement of the ballet.","George Balanchine","21 minutes","Final movement of Suite No. 3 for orchestra in G major (1884)","Peter Ilyitch Tschaikovsky","September 27, 1947, Ballet Theater, Richmond, Virginia","Alicia Alonso, Igor Youskevitch",2,"Karinska (from Symphony in C)","-","David Hays","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579781836/legacy/imported/theme-and-variations-key?_a=AACnOEz,","September 27, 1947","Ballet Theater, Richmond, Virginia"
"Apollo","Balanchine's first collaboration with Stravinsky and one of his earliest international successes, Apollo presents the young god as he is ushered into adulthood by the muses of poetry, mime, and dance.","Balanchine's first collaboration with Stravinsky and one of his earliest international successes, Apollo presents the young god as he is ushered into adulthood by the muses of poetry, mime, and dance.
Apollo is the oldest Balanchine ballet in New York City Ballet’s repertory. Created for Serge Diaghilev’s Ballets Russes, and originally titled Apollon Musagète, the ballet premiered in Paris in 1928 and was Balanchine’s first major collaboration with composer Igor Stravinsky. With this dramatic and powerful ballet, which created a sensation when it was first performed, the 24-year-old Balanchine achieved international recognition. The 1928 premiere of the ballet featured sets and costumes by the French painter André Bauchant and in 1929 new costumes were created by Coco Chanel. The ballet was first performed by New York City Ballet in 1951, and during his lifetime Balanchine continued to revise the work, eliminating sets, costumes, and much of the ballet’s narrative content.","George Balanchine","28 minutes","Apollon Musagète (1928)","Igor Stravinsky","June 12, 1928, Diaghilev's Ballets Russes, Théâtre Sarah Bernhardt, Paris","Alice Nikitina, Lubov Tchernicheva, Felia Doubrovska, Serge Lifar",4,"André Bauchant, executed by Prince A. Schervashidze (1928), Chanel (1929), Stewart Chaney (1937), Tomás Santa Rosa (1941), Karinska (1951). Danced in minimal practice clothes since 1957.","André Bauchant, executed under direction of Mme A Youkine (1928), Stewart Chaney (1937), Tomás Santa Rosa (1941). Minimal scenery after 1957; no scenery after 1979.","Jean Rosenthal (1951); David Hays (1964); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1604965013/Ballets/Apollo/Apollo-StanleyTPeckWoodwardPollack-190122-47?_a=AACnOEz,","June 12, 1928","Diaghilev's Ballets Russes, Théâtre Sarah Bernhardt, Paris"
"La-Sonnambula","Deceit, desire, and death shadow La Sonnambula's masked ball, haunting with the image of a beautiful sleepwalker and the misfortune in her wake.","Deceit, desire, and death shadow La Sonnambula's masked ball, haunting with the image of a beautiful sleepwalker and the misfortune in her wake.
Balanchine choreographed this work (then called Night Shadow) in 1946, for Ballet Russe de Monte Carlo, featuring Alexandra Danilova, Nicholas Magallanes, and Maria Tallchief. He used music by Vittorio Rieti based on themes from several of Vincenzo Bellini’s operas. The ballet was first performed by New York City Ballet in 1960, with Allegra Kent, Erik Bruhn, and Jillana in the lead roles.
Set at a masked ball, the one-act La Sonnambula tells the story of a Coquette, a Poet, and a beautiful Sleepwalker. The story remains mysterious, inviting different interpretations of the characters’ actions and relationships; it is the moods and emotions evoked by Balanchine’s choreography that give the ballet its resonance. Its atmosphere of sinister menace brings to mind 19th-century Romantic ballets like Giselle and La Sylphide, with their haunting stories of doomed love.","George Balanchine, staged by John Taras","31 minutes","Based on themes from operas by Vincenzo Bellini, including La Sonnambula, Il Puritani, Norma and I Capuleti e i Montecchi (1830-1835)","Vittorio Rieti","February 27, 1946, Ballet Russe de Monte Carlo, City Center of Music and Drama, New York","Alexandra Danilova, Nicholas Magallanes, Maria Tallchief, Michel Katcharoff",4,"André Levasseur (Alain Vaes, 1987)","Esteban Francés (Alain Vaes, 1987)","Esteban Francés (Mark Stanley, 1987)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1589845165/Ballets/Sonnambula-La/Sonnambula-Hyltin-C36663-5?_a=AACnOEz,","February 27, 1946","Ballet Russe de Monte Carlo, City Center of Music and Drama, New York"
